,ALARM_BOX_LOCATION,location,lat,lon
210,WEST END AVE & 85 ST,"W 85th St & West End Ave, New York, NY 10024, USA",40.78821110000001,-73.9783636
211,COLUMBUS AVE & W 72 ST,"Columbus Ave & W 72nd St, New York, NY 10023, USA",40.7774141,-73.978797
212,BASSFORD AVE & E 183 ST,"E 183rd St & Bassford Ave, The Bronx, NY 10457, USA",40.8549939,-73.89250799999998
213,JOHNSON AVE & STEWART AVE,"Johnson Ave & Stewart Ave, Brooklyn, NY 11237, USA",40.7088098,-73.92576629999998
214,SUFFOLK & RIVINGTON STS,"Rivington St & Suffolk St, New York, NY 10002, USA",40.7193479,-73.98591569999998
215,CLARK ST & MONROE PL,"Monroe Place & Clark St, Brooklyn, NY 11201, USA",40.697224,-73.99212399999998
216,AVENUE H & E 12 ST,"E 12th St & Avenue H, Brooklyn, NY 11230, USA",40.6296589,-73.9650757
217,CENTRAL PARK W & W 89 ST,"Central Park West & W 89th St, New York, NY 10024, USA",40.7872215,-73.96793570000001
218,BROADWAY & 72 ST,"Broadway & W 72nd St, New York, NY 10023, USA",40.778794,-73.9820683
219,2 AVE & 115 ST,"2nd Ave & E 115th St, New York, NY 10029, USA",40.796313,-73.9382718
220,ROCKLAND AV 500' E OF RICHMOND AV,"500 Rockland Ave, Staten Island, NY 10314, USA",40.58904129999999,-74.13864819999998
221,PEARL & JOHN STS,"1047 Amsterdam Ave, New York, NY 10025, USA",40.803835600000006,-73.96187540000003
222,PARK AVE & E 72 ST,"Park Ave & E 72nd St, New York, NY 10021, USA",40.7711473,-73.96392790000002
223,TIFFANY ST & E 169 ST,"Tiffany St & E 169th St, The Bronx, NY 10459, USA",40.8280253,-73.89507270000001
224,165 ST BTW TRINTY & TINTON AVES,"E 165th St, The Bronx, NY, USA",40.8264916,-73.90768280000002
